transaction_id,transaction_date,processor,product,segment,processor_amount,booked_amount,variance_usd,variance_pct,gap_type,gap_detail,processor_month,booking_month,days_to_detect,revenue_at_risk
TX000380,2024-03-07,PayPal,transaction_fee,Mid-Market,70.13,70.13,0.0,0.0,matched,,2024-03,2024-03,0.0,0.0
TX000380,2024-03-07,PayPal,transaction_fee,Mid-Market,70.13,70.13,70.13,,duplicate,Revenue booked 2x for this transaction — 1 extra occurrence(s),2024-03,2024-03,1.0,70.13
TX000523,2024-04-07,Stripe,subscription_annual,SMB,2824.03,2824.03,0.0,0.0,matched,,2024-04,2024-04,0.0,0.0
TX000523,2024-04-07,Stripe,subscription_annual,SMB,2824.03,2824.03,2824.03,,duplicate,Revenue booked 2x for this transaction — 1 extra occurrence(s),2024-04,2024-04,0.0,2824.03
TX000746,2024-05-18,Stripe,transaction_fee,SMB,54.13,54.13,0.0,0.0,matched,,2024-05,2024-05,0.0,0.0
TX000746,2024-05-18,Stripe,transaction_fee,SMB,54.13,54.13,54.13,,duplicate,Revenue booked 2x for this transaction — 1 extra occurrence(s),2024-05,2024-05,2.0,54.13
TX000908,2024-06-13,Square,subscription_monthly,Mid-Market,76.83,76.83,0.0,0.0,matched,,2024-06,2024-06,0.0,0.0
TX000908,2024-06-13,Square,subscription_monthly,Mid-Market,76.83,76.83,76.83,,duplicate,Revenue booked 2x for this transaction — 1 extra occurrence(s),2024-06,2024-06,2.0,76.83
TX001050,2024-07-10,Stripe,transaction_fee,Mid-Market,21.86,21.86,0.0,0.0,matched,,2024-07,2024-07,0.0,0.0
TX001050,2024-07-10,Stripe,transaction_fee,Mid-Market,21.86,21.86,21.86,,duplicate,Revenue booked 2x for this transaction — 1 extra occurrence(s),2024-07,2024-07,2.0,21.86
TX001286,2024-08-22,PayPal,subscription_annual,Mid-Market,1695.47,1695.47,0.0,0.0,matched,,2024-08,2024-08,0.0,0.0
TX001286,2024-08-22,PayPal,subscription_annual,Mid-Market,1695.47,1695.47,1695.47,,duplicate,Revenue booked 2x for this transaction — 1 extra occurrence(s),2024-08,2024-08,0.0,1695.47
TX001292,2024-08-23,Stripe,transaction_fee,SMB,147.43,147.43,0.0,0.0,matched,,2024-08,2024-08,0.0,0.0
TX001292,2024-08-23,Stripe,transaction_fee,SMB,147.43,147.43,147.43,,duplicate,Revenue booked 2x for this transaction — 1 extra occurrence(s),2024-08,2024-08,0.0,147.43
TX001305,2024-08-25,PayPal,subscription_monthly,SMB,98.29,98.29,0.0,0.0,matched,,2024-08,2024-08,0.0,0.0
TX001305,2024-08-25,PayPal,subscription_monthly,SMB,98.29,98.29,98.29,,duplicate,Revenue booked 2x for this transaction — 1 extra occurrence(s),2024-08,2024-08,0.0,98.29
TX001631,2024-10-27,Adyen,subscription_monthly,SMB,225.46,225.46,0.0,0.0,matched,,2024-10,2024-10,0.0,0.0
TX001631,2024-10-27,Adyen,subscription_monthly,SMB,225.46,225.46,225.46,,duplicate,Revenue booked 2x for this transaction — 1 extra occurrence(s),2024-10,2024-10,0.0,225.46
TX001681,2024-11-03,Stripe,subscription_annual,SMB,1847.38,1847.38,0.0,0.0,matched,,2024-11,2024-11,0.0,0.0
TX001681,2024-11-03,Stripe,subscription_annual,SMB,1847.38,1847.38,1847.38,,duplicate,Revenue booked 2x for this transaction — 1 extra occurrence(s),2024-11,2024-11,2.0,1847.38
TX000001,2024-01-01,Stripe,subscription_annual,SMB,942.04,942.04,0.0,0.0,matched,,2024-01,2024-01,0.0,0.0
TX000002,2024-01-01,Adyen,api_usage,SMB,24.97,24.97,0.0,0.0,matched,,2024-01,2024-01,0.0,0.0
TX000003,2024-01-01,Adyen,subscription_monthly,SMB,140.02,140.02,0.0,0.0,matched,,2024-01,2024-01,0.0,0.0
TX000004,2024-01-01,Stripe,subscription_monthly,Mid-Market,64.12,64.12,0.0,0.0,matched,,2024-01,2024-01,0.0,0.0
TX000005,2024-01-01,PayPal,subscription_monthly,Mid-Market,35.05,35.05,0.0,0.0,matched,,2024-01,2024-01,0.0,0.0
TX000006,2024-01-01,Stripe,subscription_monthly,SMB,126.32,126.32,0.0,0.0,matched,,2024-01,2024-01,0.0,0.0
TX000007,2024-01-01,Stripe,subscription_annual,Mid-Market,2406.09,2406.09,0.0,0.0,matched,,2024-01,2024-01,0.0,0.0
TX000008,2024-01-01,Stripe,api_usage,SMB,285.26,285.26,0.0,0.0,matched,,2024-01,2024-01,0.0,0.0
TX000009,2024-01-01,Stripe,subscription_monthly,SMB,113.45,113.45,0.0,0.0,matched,,2024-01,2024-01,0.0,0.0
